ITEM_ID,GENRES,RATING,RELEASE_YEAR,DIRECTOR,CREATION_TIMESTAMP
movie_RR,Thriller|Survival,7.6,2022,Director_Two,1640997300
series_RR,Comedy|Romance,7,2021,Director_Three,1617222900
movie_SS,SciFi|Robots,8.9,2020,Director_Four,1577838900
series_SS,Horror|Anthology,7.5,2023,Director_Five,1672533400
movie_TT,Action|Heist,8.1,2022,Director_Six,1640997400
series_TT,Adventure|Kids,8.2,2021,Director_Seven,1617223000
movie_UU,Drama|Teen,7.2,2020,Director_Eight,1577839000
series_UU,SciFi|ParallelUniverse,9.1,2023,Director_Nine,1672533500
movie_VV,Comedy|Satire,7,2022,Director_Ten,1640997500
series_VV,Thriller|Espionage,8.6,2021,Director_Eleven,1617223100
movie_WW,Action|Military,8.3,2020,Director_Twelve,1577839100
series_WW,Drama|Family,8.9,2023,Director_Thirteen,1672533600
movie_XX,SciFi|Genetic,7.8,2022,Director_Fourteen,1640997600
series_XX,Horror|Gore,6.4,2021,Director_Fifteen,1617223200
movie_YY,Comedy|RomCom,7.5,2020,Director_Sixteen,1577839200
series_YY,Adventure|Mystery,9,2023,Director_Seventeen,1672533700
movie_ZZ,Drama|TrueCrime,9.4,2022,Director_Eighteen,1640997700
series_ZZ,SciFi|PostApocalyptic,8.2,2021,Director_Nineteen,1617223300
movie_AAA,Action|Fantasy,8,2020,Director_Twenty,1577839300
series_AAA,Comedy|SliceOfLife,7.1,2023,Director_One,1672533800
movie_BBB,Thriller|Supernatural,7.7,2022,Director_Two,1640997800
series_BBB,Drama|Political,9.5,2021,Director_Three,1617223400
movie_CCC,SciFi|Robotics,8.6,2020,Director_Four,1577839400
series_CCC,Horror|Creature,6.6,2023,Director_Five,1672533900
movie_DDD,Comedy|Musical,7.3,2022,Director_Six,1640997900
series_DDD,Adventure|Exploration,8.8,2021,Director_Seven,1617223500
movie_EEE,Drama|Historical,9,2020,Director_Eight,1577839500
series_EEE,SciFi|SpaceOpera,9.2,2023,Director_Nine,1672534000
movie_FFF,Thriller|Psychological,8.1,2022,Director_Ten,1640998000
series_FFF,Comedy|Workplace,7.4,2021,Director_Eleven,1617223600
movie_GGG,Action|Disaster,7.9,2020,Director_Twelve,1577839600
series_GGG,Horror|FoundFootage,6.8,2023,Director_Thirteen,1672534100
movie_HHH,SciFi|TimeLoop,8.7,2022,Director_Fourteen,1640998100
series_HHH,Drama|Courtroom,8.9,2021,Director_Fifteen,1617223700
movie_III,Comedy|Absurdist,7,2020,Director_Sixteen,1577839700
series_III,Thriller|Conspiracy,9,2023,Director_Seventeen,1672534200
movie_JJJ,Action|Spy,8.5,2022,Director_Eighteen,1640998200
series_JJJ,SciFi|Dystopian,8.1,2021,Director_Nineteen,1617223800
movie_KKK,Horror|Supernatural,7.2,2020,Director_Twenty,1577839800
series_KKK,Adventure|Survival,8.4,2023,Director_One,1672534300
movie_LLL,Drama|ComingOfAge,8.6,2022,Director_Two,1640998300
series_LLL,Comedy|Dark,7.6,2021,Director_Three,1617223900
movie_MMM,SciFi|VirtualReality,8.8,2020,Director_Four,1577839900
series_MMM,Thriller|Political,9.4,2023,Director_Five,1672534400
movie_NNN,Action|War,8,2022,Director_Six,1640998400
series_NNN,Drama|Medical,8.7,2021,Director_Seven,1617224000
movie_OOO,Comedy|Family,7.3,2020,Director_Eight,1577840000
series_OOO,SciFi|AlienInvasion,9.1,2023,Director_Nine,1672534500
movie_PPP,Horror|Zombie,6.5,2022,Director_Ten,1640998500
series_PPP,Adventure|Mythology,8.5,2021,Director_Eleven,1617224100
movie_QQQ,Action|Crime,7.9,2020,Director_Twelve,1577840100
series_QQQ,Drama|Teen,7.8,2023,Director_Thirteen,1672534600
movie_RRR,SciFi|PostApocalyptic,8.2,2022,Director_Fourteen,1640998600
series_RRR,Comedy|Adult,7.1,2021,Director_Fifteen,1617224200
movie_SSS,Thriller|Mystery,8.4,2020,Director_Sixteen,1577840200
series_SSS,Horror|Paranormal,6.9,2023,Director_Seventeen,1672534700
movie_TTT,Action|Fantasy,8.8,2022,Director_Eighteen,1640998700
series_TTT,SciFi|TimeTravel,9,2021,Director_Nineteen,1617224300
movie_UUU,Comedy|Romantic,7.5,2020,Director_Twenty,1577840300
series_UUU,Drama|Courtroom,8.6,2023,Director_One,1672534800
